id,view_order,name,file,file_type,link
1,1,Obstetrics FAQs,,,https://northlandobgyn.com/faqs/obstetrics
2,2,Gynecology FAQs,,,https://northlandobgyn.com/faqs/gynecology
3,3,Postoperative FAQs,,,https://northlandobgyn.com/faqs/postop
